"ASIN","Result","Brand"
"B09Z2J3M29","APPROVAL",""
"B09Z2L98M6","APPROVAL",""
"B09Z2N42PX","APPROVAL",""
"B09Z2S9S7G","APPROVAL",""
"B09Z34D2B1","APPROVAL",""
"B09Z35J6D3","APPROVAL",""
"B09Z4KFVCZ","OK",""
"B09Z6JF69X","OK",""
"B09Z7MPQ5K","OK",""
"B09Z7T8K9F","OK",""
"B09Z7Y1ZYT","OK",""
"B09Z7Y92KZ","OK",""
"B09Z8ZLWZ8","OK",""
"B09Z9J6RH3","OK",""
"B09Z9ZL9LY","OK",""
"B09ZB6X9KG","APPROVAL",""
"B09ZB72VKV","APPROVAL",""
"B09ZB7KLVL","APPROVAL",""
"B09ZBWYHBD","APPROVAL",""
"B09ZCB5SS2","OK",""
"B09ZF186LF","APPROVAL",""
"B09ZFGX5LN","OK",""
"B09ZGS2B2M","APPROVAL",""
"B09ZGT64RV","APPROVAL",""
"B09ZGVBG9W","APPROVAL",""
"B09ZJ92WRB","OK",""
"B09ZJX4JZN","APPROVAL",""
"B09ZLNVM9F","APPROVAL",""
"B09ZNQMCY8","OK",""
"B09ZNWQSLR","APPROVAL",""
"B09ZP52TTW","OK",""
"B09ZP583Y6","OK",""
"B09ZP5CWVC","APPROVAL",""
"B09ZP63WPB","APPROVAL",""
"B09ZP6HRCR","NG",""
"B09ZP6PCMP","APPROVAL",""
"B09ZP7W1R4","APPROVAL",""
"B09ZPB4SXY","APPROVAL",""
"B09ZPYL9DD","APPROVAL",""
"B09ZQ9D246","OK",""
"B09ZQK4FQV","OK",""
"B09ZSGLZP8","OK",""
"B09ZTHR2VK","APPROVAL",""
"B09ZTXTX25","APPROVAL",""
"B09ZV14WH2","OK",""
"B09ZV1D6DS","APPROVAL",""
"B09ZV1MZG3","APPROVAL",""
"B09ZV96MYR","APPROVAL",""
"B09ZVNSC7P","APPROVAL",""
"B09ZVNTK6Z","APPROVAL",""
"B09ZX1LVWF","APPROVAL",""
"B09ZX7WHQC","APPROVAL",""
"B09ZXNP9S5","OK",""
"B09ZXQWSS9","APPROVAL",""
"B09ZY75K6Z","APPROVAL",""
"B09ZYK3LXQ","APPROVAL",""
"B09ZYKYNY8","APPROVAL",""
"B09ZYLG8SW","APPROVAL",""
"B09ZYNC2C9","APPROVAL",""
"B09ZYWGMTL","APPROVAL",""
"B09ZYZB54X","APPROVAL",""
"B0B114966T","OK",""
"B0B127CQ8C","APPROVAL",""
"B0B127G1NF","APPROVAL",""
"B0B128QXVX","APPROVAL",""
"B0B12LY78Q","NG",""
"B0B12N4MBL","OK",""
"B0B12QN6WR","APPROVAL",""
"B0B13PRMQL","OK",""
"B0B13TRRJC","OK",""
"B0B144XM1F","APPROVAL",""
"B0B14DRPK2","APPROVAL",""
"B0B14L99KT","APPROVAL",""
"B0B14N6DB5","APPROVAL",""
"B0B14SSVWD","APPROVAL",""
"B0B14VD75V","APPROVAL",""
"B0B14W39KT","APPROVAL",""
"B0B15QL6KW","OK",""
"B0B16NVM9Z","APPROVAL",""
"B0B16S9262","APPROVAL",""
"B0B17DWMJT","APPROVAL",""
"B0B17VWL98","APPROVAL",""
"B0B183QD33","OK",""
"B0B18GFQHX","APPROVAL",""
"B0B18X334Q","APPROVAL",""
"B0B195136V","APPROVAL",""
"B0B1B18PDQ","OK",""
"B0B1CJY4YL","OK",""
"B0B1CQS41G","OK",""
"B0B1CW2QWC","APPROVAL",""
"B0B1CWMLTS","APPROVAL",""
"B0B1CXS8GR","OK",""
"B0B1D71CZH","OK",""
"B0B1DG7LGL","APPROVAL",""
"B0B1DGNJPB","APPROVAL",""
"B0B1DL4RDD","APPROVAL",""
