"ASIN","Brand","Result"
"B0DYDL8G4Q","IMABARIFACTORY.","◯"
"B0DYDQL2ZG","Guyyelt","◯"
"B0DYDQNJKN","DWCQRTM","◯"
"B0DYDRKPF5","Guyyelt","◯"
"B0DYDS22V2","Guyyelt","◯"
"B0DYDVSC2W","DWCQRTM","◯"
"B0DYDX5PFF","SinfoniaA","◯"
"B0DYK7237B","TCG","◯"
"B0DYK7DN7W","TCG","◯"
"B0DYK968K1","TCG","◯"
"B0DYSY6D76","スロウワー(SLOWER)","△"
"B0DYV5KCDX","Kaziro","◯"
"B0DYV66RZM","Kaziro","◯"
"B0DYV88BF1","Kaziro","◯"
"B0DZ1WNXZD","mont-bell(モンベル)","△"
"B0DZ24KW4K","雲見","◯"
"B0DZ274QGK","coolker","◯"
"B0DZ5X9XCC","Doshisha","△"
"B0DZCL6PRJ","Jopsavm","◯"
"B0DZFTK6RD","山研工業","◯"
"B0DZHDP7Z3","Arfobug","◯"
"B0DZNC28RW","Yobuisg","◯"
"B0DZNK74LF","Yobuisg","◯"
"B0DZNSH8SR","Yobuisg","◯"
"B0F1CK132T","Qobvoeh","◯"
"B0F1CNVQMY","Qobvoeh","◯"
"B0F1CT3R7N","Qobvoeh","◯"
"B0F1DD6QNM","DrivEx","◯"
"B0F1JWMY57","Dtnw","◯"
"B0F1JZ3VYX","Dtnw","◯"
"B0F1MCVL3V","DrivEx","◯"
"B0F1SZY5QP","Deronder","◯"
"B0F1TC3D6D","Fresh Produce","△"
"B0F1TWC7YB","TAKEY","◯"
"B0F21VQ2KS","FYDN","◯"
"B0F21VT363","FYDN","◯"
"B0F21WDG2C","FYDN","◯"
"B0F21XMNTT","FYDN","◯"
"B0F245Q56F","Diexgiy","◯"
"B0F246XPMV","Diexgiy","◯"
"B0F24767GR","Diexgiy","◯"
"B0F2FK5FLM","Nihig","◯"
"B0F2FL6PVQ","Nihig","◯"
"B0F2H4B96B","KIPLING KIPLING","△"
"B0F2M9JKNT","Cleansui","△"
"B0F2QWMW81","JSAUX","△"
"B0F2QWQLZQ","JSAUX","△"
"B0F2ZSDF67","Nihig","◯"
"B0F2ZTMQJS","Nihig","◯"
"B0F3HD245M","Bynar","◯"
"B0F3HT8D72","MENLITE","◯"
"B0F3HXFY2T","Bynar","◯"
"B0F3J5P8ZZ","Bynar","◯"
"B0F3JKY4XN","Youlines","◯"
"B0F3JLC2KZ","Youlines","◯"
"B0F3JLDJD3","Youlines","◯"
"B0F3JLDZ7T","Youlines","◯"
"B0F3JMT6MF","Youlines","◯"
"B0F4MMC9XZ","Kiwet","◯"
"B0F4MMMXKG","Kiwet","◯"
"B0F4MQR84B","Kiwet","◯"
"B0F4X7572D","Snow Peak","△"
"B0F4X96Y1P","Snow Peak","△"
"B0F4X972QL","Snow Peak","△"
"B0F4X9QM8G","Snow Peak","△"
"B0F534JS17","Tufduzo","◯"
"B0F539Z3X3","KazeSo","◯"
"B0F5BB3D2Z","Ambety","◯"
"B0F5BBDG48","Ambety","◯"
"B0F5WRZBJQ","Snow Peak","△"
"B0F66HTHB9","Emuia","◯"
"B0F66VB4BT","Emuia","◯"
"B0F66VF1VL","Emuia","◯"
"B0F6C5H8P7","Kiwet","◯"
"B0F6C9BW93","Kiwet","◯"
"B0F6KBRMBV","Conutoo","◯"
"B0F6KP2GVX","LINKIN PARK UNDERGROUND","◯"
"B0F6LKX8R1","BQQB","◯"
"B0F6LV7F4H","Conutoo","◯"
"B0F6LWMMQB","Conutoo","◯"
"B0F6MG895Z","Ambety","◯"
"B0F6MHWKK7","Ambety","◯"
"B0F6TBJ16S","Conutoo","◯"
"B0F6X6X8FC","BQQB","◯"
"B0F6XL5G6R","Aeroor","◯"
"B0F7DT2WZV","Nihig","◯"
"B0F7S8R8JF","Universal Import","◯"
"B0FBGYHXXZ","Fixoshine","◯"
