カテゴリ,名前,説明
CSSクラス,btn,すべての主要な青いボタンの共通スタイル
CSSクラス,tab,タブ切替用のボタンスタイル
HTML要素,asinFetchBtn,商品情報タブの検索ボタン、btnクラス適用済み
HTML要素,menu-btn,ハンバーガーメニュー開閉ボタン
